Report Refresh Date,User Principal Name,Display Name,Assigned Products
2023-10-27,lindsay_kutch@groverale.onmicrosoft.com,Lindsay Kutch,Microsoft 365 E5
2023-10-27,arlo.boyle@groverale.onmicrosoft.com,Arlo Boyle,Microsoft 365 E5
2023-10-27,ara_gutmann@groverale.onmicrosoft.com,Ara Gutmann,Microsoft 365 E5
2023-10-27,rhianna.beier@groverale.onmicrosoft.com,Rhianna Beier,Microsoft 365 E5
2023-10-27,ryder_rosenbaum@groverale.onmicrosoft.com,Ryder Rosenbaum,Microsoft 365 E5
2023-10-27,davon.bins@groverale.onmicrosoft.com,Davon Bins,Microsoft 365 E5
2023-10-27,camilla.halvorson@groverale.onmicrosoft.com,Camilla Halvorson,Microsoft 365 E5
2023-10-27,chad.gutkowski@groverale.onmicrosoft.com,Chad Gutkowski,Microsoft 365 E5
2023-10-27,karlee_abernathy@groverale.onmicrosoft.com,Karlee Abernathy,Microsoft 365 E5
2023-10-27,silas_considine@groverale.onmicrosoft.com,Silas Considine,Microsoft 365 E5
2023-10-27,gregory_o.hara@groverale.onmicrosoft.com,Gregory O'Hara,Microsoft 365 E5
2023-10-27,angel.quitzon@groverale.onmicrosoft.com,Angel Quitzon,Microsoft 365 E5
2023-10-27,naomi_harvey@groverale.onmicrosoft.com,Naomi Harvey,Microsoft 365 E5
2023-10-27,brad_schimmel@groverale.onmicrosoft.com,Brad Schimmel,Microsoft 365 E5
2023-10-27,freida_kihn@groverale.onmicrosoft.com,Freida Kihn,Microsoft 365 E5
2023-10-27,geraldine_schinner@groverale.onmicrosoft.com,Geraldine Schinner,Microsoft 365 E5
2023-10-27,jaclyn.torphy@groverale.onmicrosoft.com,Jaclyn Torphy,Microsoft 365 E5
2023-10-27,juliana_huel@groverale.onmicrosoft.com,Juliana Huel,Microsoft 365 E5
2023-10-27,nannie.weber@groverale.onmicrosoft.com,Nannie Weber,Microsoft 365 E5
2023-10-27,jerald.bode@groverale.onmicrosoft.com,Jerald Bode,Microsoft 365 E5
2023-10-27,peyton.jaskolski@groverale.onmicrosoft.com,Peyton Jaskolski,Microsoft 365 E5
2023-10-27,alexane_mcclure@groverale.onmicrosoft.com,Alexane McClure,Microsoft 365 E5
2023-10-27,salma.cartwright@groverale.onmicrosoft.com,Salma Cartwright,Microsoft 365 E5
2023-10-27,lorenz.morissette@groverale.onmicrosoft.com,Lorenz Morissette,Microsoft 365 E5
2023-10-27,ayden.howell@groverale.onmicrosoft.com,Ayden Howell,Microsoft 365 E5
2023-10-27,idell.littel@groverale.onmicrosoft.com,Idell Littel,Microsoft 365 E5
2023-10-27,felicia_stroman@groverale.onmicrosoft.com,Felicia Stroman,Microsoft 365 E5
2023-10-27,telly_flatley@groverale.onmicrosoft.com,Telly Flatley,Microsoft 365 E5
2023-10-27,emery.murazik@groverale.onmicrosoft.com,Emery Murazik,Microsoft 365 E5
2023-10-27,mireille_hyatt@groverale.onmicrosoft.com,Mireille Hyatt,Microsoft 365 E5
